SubjectCode,ExamYear,ShortName,LongName,ResultName
103,2003,COMMERCE	,COMMERCE                    ,COMMERCE
104,2003,FIN. ACCOUNTING,FINANCIAL ACCOUNTING          ,FIN ACCT
106,2003,SHORTHAND      ,SHORTHAND                     ,SHTHAND.
107,2003,TYPEWRITING    ,TYPEWRITING                   ,TYPWRITG
108,2003,AUTO PSM/DISING,AUTOMOBILE PARTS MECHANDISING , AUTOPSM 
109,2003,BOOK KEEPING   ,BOOK KEEPING                  ,BOOKKEEP
110,2003,DATA PROCESSING,DATA PROCESSING               ,DATAPROC
111,2003,INSURANCE      ,INSURANCE                     ,INSURANC
112,2003,MARKETING      ,MARKETING                     ,MARKETNG
113,2003,OFFICE PRACTICE,OFFICE PRACTICE               ,OFFICEPR
114,2003,SALESMANSHIP   ,SALESMANSHIP                  ,SALESM  
116,2003,STORE KEEPING  ,STORE KEEPING                 ,STORKEEP
117,2003,STORE M/GEMENT ,STORE MANAGEMENT              ,STOREMGT
202,2003,CR/STUDIES     ,CHRISTIAN RELIGIOUS STUDIES   ,CRS     
203,2003,ECONOMICS      ,ECONOMICS                     ,ECON....
204,2003,GEOGRAPHY      ,GEOGRAPHY                     ,GEOG....
205,2003,GOVERNMENT     ,GOVERNMENT                    ,GOVT....
207,2003,HISTORY        ,HISTORY                       ,HISTORY.
208,2003,ISLAMIC STUDIES,ISLAMIC STUDIES               ,ISL-STDS
210,2003,LIT-IN-ENGLISH ,LITERATURE IN ENGLISH         ,LIT-ENG.
216,2003,CIVIC EDUCATION,CIVIC EDUCATION               ,CIVICEDU
217,2003,TOURISM        ,TOURISM                       ,TOURISM 
301,2003,ARABIC         ,ARABIC                        ,ARABIC  
302,2003,ENGLISH LANG   ,ENGLISH LANGUAGE              ,ENG-LANG
304,2003,FRENCH         ,FRENCH                        ,FRENCH..
327,2003,HAUSA LANGUAGE ,HAUSA          ,HAUSA     
328,2003,IGBO LANGUAGE  ,IGBO,IGBO
329,2003,YORUBA LANGUAGE,YORUBA,YORUBA
330,2003,EDO            ,EDO                           ,EDO     
331,2003,EFIK           ,EFIK                          ,EFIK    
332,2003,IBIBIO         ,IBIBIO                        ,IBIBIO  
401,2003,FURTHER MATHS  ,FURTHER MATHEMATICS           ,F-MATHS.
402,2003,MATHEMATICS    ,MATHEMATICS                   ,MATHS...
502,2003,AGRIC SCIENCE  ,AGRICULTURAL SCIENCE          ,AGRICSCI
504,2003,BIOLOGY        ,BIOLOGY                       ,BIOLOGY.
505,2003,CHEMISTRY      ,CHEMISTRY                     ,CHEM....
511,2003,PHYSICAL-EDUC  ,PHYSICAL EDUCATION            ,PHY-EDUC
512,2003,PHYSICS        ,PHYSICS                       ,PHYSICS.
518,2003,ANIMAL H/BANDRY,ANIMAL HUSBANDRY              ,AHUSB   
519,2003,FISHERIES      ,FISHERIES                     ,FISHRIES
520,2003,HEALTHEDUCATION,HEALTH EDUCATION              ,H EDUC  
603,2003,AUTO MECHANICS ,AUTO MECHANICS                ,AUTOMECH
604,2003,BUILDING CONSTR,BUILDING CONSTRUCTION         ,BUILDCON
607,2003,METALWORK      ,METALWORK                     ,METALWK.
608,2003,TECHNICAL DRG  ,TECHNICAL DRAWING             ,TECHDRAW
609,2003,WOODWORK       ,WOODWORK                      ,WOODWORK
610,2003,AIR-CON/REFRIG ,AIR CONDITIONING AND REFRIGERATION,   ACREFR 
611,2003,AUTOBODY & PT  ,AUTO BODY REPAIRS AND SPRAY PAINTING ,        AU
612,2003,AUTO ELECT WORK,AUTO ELECTRICAL WORK          ,AUTOELEC
613,2003,AUTO MECH WORK ,AUTO MECHANICAL WORK          ,AUTOMWRK
614,2003,BASIC ELECTRIC ,BASIC ELECTRICITY             ,BELECT  
615,2003,BASIC ELECTRON ,BASIC ELECTRONICS             ,BALECTNC
616,2003,BL,BRI LAY&CONC,BLOCK LAYING,BRICK LAYING AND CONCRETING WORK,TING WORK 
617,2003,CARP & JOINERY ,CARPENTRY & JOINERY           ,CARPJOIN
618,2003,COMPUT STUDIES ,COMPUTER STUDIES              ,COMPUTER
619,2003,ELECT INS&MWRKS,ELECTRICAL INSTALLATION AND MAINTENANCE WORKS,ELECTMNT
620,2003,FURNITURE MAKNG,FURNITURE MAKING              ,FURNIMAK
621,2003,GSM M & REPAIR ,GSM PHONE MAINTENANCE AND REPAIR,      GSMR
624,2003,M/C WOODWORKING,MACHINE WOODWORKING           ,MWOODWRK
625,2003,MINING         ,MINING                        ,MINING  
626,2003,P&PIPE FITTING ,PLUMBING AND PIPE FITTING     , PPIPEFIT
627,2003,PRI CRAFT PRACT,PRINTING CRAFT PRACTICE       ,PRINTCP 
628,2003,RA TV& EL. WORK,RADIO,TELEVISION AND ELECTRONIC WORKS,RTVELECT
629,2003,UPHOLSTERY     ,UPHOLSTERY                    ,UPHOLSTR
630,2003,WELDFENG       ,WELDING AND FABRICATION ENGINEERING CRAFT PRACTICE,WFENGCRP
701,2003,CLOTH & TEXTILE,CLOTHING AND TEXTILES         ,  CL&TECH.
702,2003,FOODS & NUTR   ,FOODS AND NUTRITION           , FDS&NUTR
703,2003,HOME MANAGEMENT,HOME MANAGEMENT               ,HOMEMANG
705,2003,MUSIC          ,MUSIC                         ,MUSIC...
706,2003,VISUAL ART     ,VISUAL ART                    ,VIS-ART 
716,2003,CATE CRAFT PRAC,CATERING CRAFT PRACTICE       ,CATERING
717,2003,COSMETOLOGY    ,COSMETOLOGY                   ,COSMETOL
718,2003,DYE & BLEACHING,DYEING AND BLEACHING          , DYEBLEAC
719,2003,GARMENT M      ,GARMENT MAKING                ,GARM MAK
720,2003,LEATHER&REPAIRS,LEATHER GOODS MANUFACTING AND REPAIRS,LEAT
721,2003,PAINTING & DECO,PAINTING  AND DECORATING      ,  PAINTDEC
722,2003,PHOTOGRAPHY    ,PHOTOGRAPHY                   ,PHOTO   
165,1992,HAUSA LANG	,HAUSA LANGUAGE			,HAUSA
166,1992,HAUSA LIT	,HAUSA LITERATURE 		,HAUS LIT
721,1990,ACCOUNTS	,ACCOUNTS			,ACCTS
741,1987,BUSINESS MGT.	,BUSINESS MANAGEMENT		,BUS. MGT.
165,1990,HAUSALANG	,HAUSA LANGUAGE			,HAUSA
010,1978,ENGLISH LANG	,ENGLISH LANGUAGE		,ENG.LANG
021,1978,ENGLISH LIT	,ENGLISH LITERATURE		,ENG-LIT
022,1978,BIBLE KNOW.	,BIBLE KNOWLEDGE		,BIBLE-KNOW
024,1978,HISTORY,HISTORY,HISTORY			,HISTORY
025,1978,GEOGRAPHY	,GEOGRAPHY			,GEOGRAPHY
027,1978,ECONS		,ECONOMICS			,ECON
037,1978,MATHS		,MATHEMATICS			,MATH
047,1978,HEALTH SCI,HEALTH SCIENCE			,HEALTH SCI
101,1995,ENGLISH LANG	,ENGLISH LANGUAGE     ,ENG LANGE
151,1995,ARABIC        ,ARABIC STUDIES       ,ARABIC    
175,1995,HAUSA LANG    ,HAUSA LANGUAGE       ,HAU LANG  
176,1995,HAUSA LIT     ,HAUSA LITERATURE     ,HAUS LIT  
185,1995,IGBO LANG     ,IGBO LANGUAGE        ,IGBOLANG  
186,1995,IGBO LIT      ,IGBO LITERATURE      ,IGBO LIT  
195,1995,YORUBA LANG   ,YORUBA LANGUAGE      ,YOR LANG  
196,1995,YORUBA LIT    ,YORUBA LITERATURE    ,YORU LIT  
211,1995,LIT IN ENG    ,LITERATURE IN ENGLISH,LIT-ENG   
221,1995,REL KNOWLEDGE ,XTIAN REL KNOWLEDGE ,C.R.STD   
231,1995,ISLAMIC       ,ISLAMIC STUDIES      ,I.R.STD   
241,1995,HISTORY       ,HISTORY             ,HISTORY   
251,1995,GEOGRAPHY     ,GEOGRAPHY            ,GEOG      
261,1995,GOVERNMENT    ,GOVERNMENT           ,GOVT.     
271,1995,ECONOMICS     ,ECONOMICS            ,ECON      
311,1995,MATHEMATICS   ,MATHEMATICS          ,MATHS     
341,1995,FURTHER-MATHS ,FURTHER MATHEMATICS  ,FUR-MATH  
431,1995,PHYSICS       ,PHYSICS              ,PHYSICS   
441,1995,CHEMISTRY     ,CHEMISTRY            ,CHEM      
451,1995,BIOLOGY       ,BIOLOGY              ,BIOLOGY   
461,1995,AGRIC SCIENCE ,AGRIC SCIENCE        ,AGRIC-SC  
471,1995,HEALTH SCIENCE,HEALTH SCIENCE       ,HEALTHSC  
481,1995,PHYSICAL EDUC ,PHYSICAL EDUCATION   ,PYS-EDUC  
511,1995,ART           ,ART                  ,ART       
521,1995,MUSIC         ,MUSIC                ,MUSIC     
551,1995,CLOTH&TEXTILE ,CLOTHING & TEXTILE   ,CLO&TEX   
561,1995,FOOD&NUTRITION,FOOD & NUTRITION     ,FOODNUTR  
571,1995,HOME MANAGE   ,HOME MANAGEMENT      ,HOMEMGT   
611,1995,TECH-DRAWING  ,TECHNICAL DRAWING    ,TECDRAW   
621,1995,BUILD CONST   ,BUILDING CONSTRUCTION,BUILD     
631,1995,WOODWORK      ,WOODWORK             ,WOODWORK  
641,1995,METAL WORK    ,METAL WORK           ,METALWK   
651,1995,APPLIED ELEC  ,APPLIED ELECTRICITY  ,APP-ELEC  
661,1995,ELECTRONIC    ,ELECTRONICS          ,ELECTRO   
671,1995,AUTO-MECHANICS,AUTO-MECHANICS       ,AUTOMECH  
711,1995,COMMERCE      ,COMMERCE             ,COMMERCE  
731,1995,SHORTHAND     ,SHORTHAND            ,SHORTHD   
751,1995,TYPEWRITING   ,TYPEWRITING	,TYPEWR
761,1995,BOOK-KEEPING	,BOOK-KEEPING         ,BOOKKEEP  
